['p5', '00:01:07', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:07', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '4', '2', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '5', '4', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '3', '3', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:01:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-7', '-1', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-5', '-2', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-6', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-7', '0', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-6', '-1', 'Sensemaking']
['p5', '00:01:10', 'pan', 'geo-0-1', '-4', '-1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-1', '-1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-11', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-6', '-2', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-5', '-1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-3', '0', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-2', '-1', 'Sensemaking']
['p5', '00:01:11', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-7', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-10', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-3', '1', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '-1', '1', 'Sensemaking']
['p5', '00:01:12', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-4', '1', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-5', '1', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-14', '0', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-27', '-3', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-19', '-9', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-10', '-3', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-9', '-4', 'Sensemaking']
['p5', '00:01:13', 'pan', 'geo-0-1', '-9', '-3', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-4', '0', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p5', '00:01:14', 'pan', 'geo-0-1', '-2', '1', 'Sensemaking']
