p5,00:00:00,clear,undefined,undefined
p5,00:03:25,range select,bar-5,5-10-10-1_
p5,00:03:27,range select,bar-5,5-12-12-1_
p5,00:03:27,clear,undefined,undefined
p5,00:03:29,brush,bar-5,5-14-14-1_
p5,00:03:29,brush,bar-5,5-13-13-1_
p5,00:03:29,brush,bar-5,5-12-12-1_
p5,00:03:31,range select,bar-5,5-12-12-1_
p5,00:03:32,clear,undefined,undefined
p5,00:03:39,repaintBg,log scale,false
p5,00:03:39,repaintFg,log scale,false
p5,00:03:42,clear,undefined,undefined
p5,00:03:42,brush,bar-5,5-1-1-1_
p5,00:03:42,brush,bar-5,5-2-2-1_
p5,00:03:43,brush,bar-5,5-3-3-1_
p5,00:03:43,brush,bar-5,5-4-4-1_
p5,00:03:43,brush,bar-5,5-6-6-1_
p5,00:03:43,brush,bar-5,5-7-7-1_
p5,00:03:43,brush,bar-5,5-9-9-1_
p5,00:03:43,brush,bar-5,5-10-10-1_
p5,00:03:43,brush,bar-5,5-11-11-1_
p5,00:03:43,brush,bar-5,5-12-12-1_
p5,00:03:43,brush,bar-5,5-13-13-1_
p5,00:03:43,brush,bar-5,5-14-14-1_
p5,00:03:43,brush,bar-5,5-15-15-1_
p5,00:03:43,brush,bar-5,5-16-16-1_
p5,00:03:43,brush,bar-5,5-17-17-1_
p5,00:03:44,brush,bar-5,5-16-16-1_
p5,00:03:44,brush,bar-5,5-15-15-1_
p5,00:03:44,brush,bar-5,5-14-14-1_
p5,00:03:44,brush,bar-5,5-13-13-1_
p5,00:03:44,brush,bar-5,5-12-12-1_
p5,00:03:45,brush,bar-5,5-11-11-1_
p5,00:03:45,brush,bar-5,5-10-10-1_
p5,00:03:45,brush,bar-5,5-9-9-1_
p5,00:03:45,brush,bar-5,5-8-8-1_
p5,00:03:56,range select,bar-5,5-8-8-1_
p5,00:04:00,repaintBg,log scale,true
p5,00:04:00,repaintFg,log scale,true
p5,00:04:08,range select,bar-5,5-9-9-1_
p5,00:04:11,range select,bar-5,5-10-10-1_
p5,00:04:17,range select,bar-5,5-19-19-1_
p5,00:04:25,range select,bar-5,5-9-9-1_
p5,00:04:27,range select,bar-5,5-8-8-1_
p5,00:04:27,range select,bar-5,5-3-3-1_
p5,00:04:30,repaintBg,log scale,false
p5,00:04:30,repaintFg,log scale,false
p5,00:04:32,clear,undefined,undefined
p5,00:04:43,pan,geo-0-1,0,0
p5,00:04:43,pan,geo-0-1,3,2
p5,00:04:43,pan,geo-0-1,1,0
p5,00:04:43,pan,geo-0-1,4,0
p5,00:04:43,pan,geo-0-1,7,0
p5,00:04:43,pan,geo-0-1,2,0
p5,00:04:43,pan,geo-0-1,10,0
p5,00:04:43,pan,geo-0-1,2,2
p5,00:04:44,pan,geo-0-1,1,1
p5,00:04:44,pan,geo-0-1,2,0
p5,00:04:44,pan,geo-0-1,1,0
p5,00:04:44,pan,geo-0-1,2,0
p5,00:04:44,pan,geo-0-1,2,-2
p5,00:04:44,pan,geo-0-1,1,-2
p5,00:04:44,pan,geo-0-1,1,-1
p5,00:04:44,pan,geo-0-1,0,-1
p5,00:04:45,pan,geo-0-1,1,-2
p5,00:04:45,pan,geo-0-1,1,-3
p5,00:04:45,pan,geo-0-1,2,-8
p5,00:04:45,pan,geo-0-1,1,-3
p5,00:04:45,pan,geo-0-1,0,-3
p5,00:04:45,pan,geo-0-1,2,-1
p5,00:04:46,pan,geo-0-1,0,0
p5,00:04:46,pan,geo-0-1,0,-1
p5,00:04:46,pan,geo-0-1,1,-2
p5,00:04:46,pan,geo-0-1,2,-3
p5,00:04:46,pan,geo-0-1,1,-3
p5,00:04:46,pan,geo-0-1,2,-4
p5,00:04:46,pan,geo-0-1,1,-2
p5,00:04:46,pan,geo-0-1,0,0
p5,00:04:46,pan,geo-0-1,1,-1
p5,00:04:46,pan,geo-0-1,0,0
