Time,State,action,reward,visualization
00:02:57,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:58,(Question+geo-0-1),pan,0.25,geo-0-1
00:02:59,(Question+geo-0-1),pan,0.25,geo-0-1
00:03:02,(Question+bar-5),range select,0.25,bar-5
00:03:15,(Sensemaking+bar-5),range select,0.25,bar-5
00:03:16,(Sensemaking+bar-5),range select,0.25,bar-5
00:03:20,(Sensemaking+bar-5),range select,0.25,bar-5
00:03:21,(Sensemaking+bar-5),range select,0.25,bar-5
00:03:22,(Sensemaking+bar-5),range select,0.25,bar-5
00:03:25,(Question+bar-5),range select,0.25,bar-5
00:03:27,(Question+bar-5),range select,0.25,bar-5
00:03:27,(Question+undefined),clear,0.25,undefined
00:03:29,(Question+bar-5),brush,0.25,bar-5
00:03:31,(Question+bar-5),range select,0.25,bar-5
00:03:32,(Question+undefined),clear,0.25,undefined
00:03:42,(Sensemaking+undefined),clear,0.25,undefined
00:03:42,(Sensemaking+bar-5),brush,0.25,bar-5
00:03:43,(Sensemaking+bar-5),brush,0.25,bar-5
00:03:44,(Sensemaking+bar-5),brush,0.25,bar-5
00:03:45,(Sensemaking+bar-5),brush,0.25,bar-5
00:03:56,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:08,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:11,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:17,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:25,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:27,(Sensemaking+bar-5),range select,0.25,bar-5
00:04:32,(Sensemaking+undefined),clear,0.25,undefined
00:04:43,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:44,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:45,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:46,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:47,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:49,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:50,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:51,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:52,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:53,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:54,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:55,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:04:58,(Sensemaking+geo-0-1),pan,0.0,geo-0-1
00:04:59,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:00,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:01,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:02,(Sensemaking+undefined),clear,0.25,undefined
00:05:02,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:03,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:03,(Sensemaking+undefined),clear,0.25,undefined
00:05:04,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:06,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:07,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:08,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:09,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:11,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:12,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:12,(Sensemaking+geo-0-1),pan,0.25,geo-0-1
00:05:13,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:14,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:15,(Question+geo-0-1),zoom,0.0,geo-0-1
00:05:16,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:17,(Question+geo-0-1),zoom,0.0,geo-0-1
00:05:20,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:29,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:29,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:31,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:32,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:35,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:36,(Question+geo-0-1),zoom,0.0,geo-0-1
00:05:38,(Question+undefined),clear,0.0,undefined
00:05:39,(Question+geo-0-1),pan,0.0,geo-0-1
00:05:41,(Question+geo-0-1),pan,0.0,geo-0-1
