['p13', '00:02:06', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x3-0-30-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x5-0-29-1', 'Exploration']
['p13', '00:02:16', 'pan', 'geo-0-1', '-510', '770', 'Exploration']
['p13', '00:02:17', 'zoom', 'geo-0-1', '5', 'Sensemaking']
['p13', '00:02:17', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x2-0-11-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x2-0-11-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x3-0-30-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x3-0-30-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x5-0-29-1', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x5-0-29-1', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-2048-2303-5x1-2816-3071-5x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-2304-2559-5x1-2816-3071-5x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-2048-2303-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-2304-2559-5x1-3072-3327-5x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-5888-6143-6x1-2816-3071-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-5632-5887-6x1-2816-3071-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-5632-5887-6x1-3072-3327-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-5888-6143-6x1-3072-3327-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-6144-6399-6x1-2816-3071-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-6400-6655-6x1-2816-3071-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-6144-6399-6x1-3072-3327-6x4-0-23-0', 'Sensemaking']
['p13', '00:02:17', 'tile cached', 'undefined', '0-3072-3327-5x1-1280-1535-5x2-0-11-0', 'Sensemaking']
