['p9', '00:07:24', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p9', '00:07:24', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p9', '00:07:24', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-14-14-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-13-13-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-12-12-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-11-11-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-10-10-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-9-9-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-8-8-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-7-7-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-6-6-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-5-5-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-4-4-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p9', '00:07:25', 'brush', 'hist-3', '3-1-1-0_', 'Sensemaking']
['p9', '00:07:25', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:07:27', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p9', '00:07:27', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p9', '00:07:27', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p9', '00:07:27', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p9', '00:07:27', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p9', '00:07:28', 'brush', 'hist-2', '2-6-6-0_', 'Sensemaking']
['p9', '00:07:28', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p9', '00:07:28', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p9', '00:07:36', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p9', '00:07:36', 'brush', 'hist-2', '2-6-6-0_', 'Sensemaking']
['p9', '00:07:37', 'brush', 'hist-2', '2-5-5-0_', 'Sensemaking']
['p9', '00:07:37', 'brush', 'hist-2', '2-4-4-0_', 'Sensemaking']
['p9', '00:07:37', 'brush', 'hist-2', '2-3-3-0_', 'Sensemaking']
['p9', '00:07:37', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p9', '00:07:37', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
