['p17', '00:19:54', 'pan', 'geo-0-1', '10', '-2', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '11', '-3', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '9', '-2', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '8', '-2', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '8', '-1', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '6', '-2', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '2', '-1', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:54', 'pan', 'geo-0-1', '-1', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-4', '1', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-11', '2', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-24', '4', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-43', '6', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '466', '6', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-50', '6', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-26', '3', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-14', '2', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-4', '1', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '6', '1', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '10', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '9', '1', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '9', '2', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '10', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-5', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-14', '1', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-34', '-3', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-42', '-2', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-22', '-3', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-25', '-2', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-8', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '-2', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p17', '00:19:55', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p17', '00:20:03', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-29-29-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-13-13-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-8-8-0_', 'Sensemaking']
['p17', '00:20:03', 'brush', 'hist-3', '3-0-0-0_', 'Sensemaking']
['p17', '00:20:04', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p17', '00:20:04', 'brush', 'hist-2', '2-11-11-0_', 'Sensemaking']
['p17', '00:20:04', 'brush', 'hist-2', '2-10-10-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-9-9-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-8-8-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-7-7-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-6-6-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-5-5-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-4-4-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-3-3-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p17', '00:20:05', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p17', '00:20:06', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p17', '00:20:07', 'brush', 'hist-2', '2-2-2-0_', 'Sensemaking']
['p17', '00:20:08', 'brush', 'hist-2', '2-1-1-0_', 'Sensemaking']
['p17', '00:20:08', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p17', '00:20:08', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p17', '00:20:08', 'brush', 'hist-2', '2-0-0-0_', 'Sensemaking']
['p17', '00:20:10', 'brush', 'hist-2', '2-2-2-0_', 'Exploration']
['p17', '00:20:10', 'brush', 'hist-2', '2-3-3-0_', 'Exploration']
['p17', '00:20:10', 'brush', 'hist-2', '2-4-4-0_', 'Exploration']
['p17', '00:20:10', 'clear', 'undefined', 'undefined', 'Exploration']
['p17', '00:20:11', 'brush', 'hist-2', '2-10-10-0_', 'Exploration']
['p17', '00:20:11', 'brush', 'hist-2', '2-8-8-0_', 'Exploration']
['p17', '00:20:11', 'brush', 'hist-2', '2-7-7-0_', 'Exploration']
