Time,State,action,reward,visualization,subtask,raw_actions
00:18:03,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,pan
00:18:04,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,pan
00:18:05,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,zoom
00:18:06,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,zoom
00:18:10,(Question+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,pan
00:19:45,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,7,zoom
00:19:47,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,7,zoom
00:19:49,(Sensemaking+scatterplot-0-1),observation,0.0,scatterplot-0-1,7,zoom
00:19:50,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,7,zoom
00:20:54,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,8,zoom
00:20:56,(Sensemaking+scatterplot-0-1),generalization,0.25,scatterplot-0-1,8,pan
00:20:57,(Sensemaking+scatterplot-0-1),observation,0.25,scatterplot-0-1,9,pan
00:21:16,(Sensemaking+bar-4),observation,0.25,bar-4,9,range select
00:21:20,(Sensemaking+bar-4),observation,0.0,bar-4,9,range select
00:21:24,(Sensemaking+bar-4),observation,0.0,bar-4,9,range select
00:21:41,(Sensemaking+scatterplot-0-1),explanation,0.0,scatterplot-0-1,9,pan
00:21:43,(Sensemaking+scatterplot-0-1),explanation,0.0,scatterplot-0-1,9,pan
00:21:44,(Sensemaking+scatterplot-0-1),explanation,0.0,scatterplot-0-1,9,zoom
00:21:49,(Sensemaking+scatterplot-0-1),explanation,0.0,scatterplot-0-1,9,zoom
00:21:50,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:51,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:53,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:54,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:55,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:56,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:21:57,(Sensemaking+scatterplot-0-1),observation,0.5,scatterplot-0-1,9,pan
00:23:11,(Sensemaking+bar-4),observation,0.0,bar-4,9,range select
00:23:27,(Sensemaking+bar-4),observation,0.25,bar-4,9,range select
00:23:30,(Sensemaking+bar-4),observation,0.25,bar-4,9,range select
00:23:36,(Sensemaking+bar-4),observation,0.0,bar-4,9,range select
00:23:39,(Sensemaking+bar-4),observation,0.25,bar-4,10,range select
00:23:42,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:23:44,(Sensemaking+bar-4),generalization,0.0,bar-4,10,range select
00:23:47,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:23:50,(Sensemaking+bar-4),generalization,0.0,bar-4,10,range select
00:23:53,(Sensemaking+bar-4),generalization,0.0,bar-4,10,range select
00:24:05,(Sensemaking+bar-4),generalization,0.0,bar-4,10,range select
00:24:09,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:24:12,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:24:13,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:24:24,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:24:27,(Sensemaking+bar-4),observation,0.0,bar-4,10,range select
00:24:39,(Question+scatterplot-0-1),steer,0.0,scatterplot-0-1,10,zoom
