['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-515-4_1-706-797-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-592-4_1-706-818-4_', 'Sensemaking']
['p8', '00:38:08', 'range select', 'geo-0-1', '0-312-597-4_1-706-821-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-602-4_1-706-823-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-621-4_1-706-833-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-627-4_1-706-837-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-632-4_1-706-843-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-648-4_1-706-859-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-649-4_1-706-860-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-638-4_1-706-868-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-634-4_1-706-869-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-631-4_1-706-869-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-628-4_1-706-868-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-626-4_1-706-867-4_', 'Sensemaking']
['p8', '00:38:09', 'range select', 'geo-0-1', '0-312-625-4_1-706-867-4_', 'Sensemaking']
['p8', '00:38:10', 'range select', 'geo-0-1', '0-312-625-4_1-706-866-4_', 'Sensemaking']
['p8', '00:38:10', 'range select', 'geo-0-1', '0-312-624-4_1-706-866-4_', 'Sensemaking']
['p8', '00:38:20', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '22', '0', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '10', '0', 'Sensemaking']
['p8', '00:38:21', 'pan', 'geo-0-1', '33', '1', 'Sensemaking']
['p8', '00:38:22', 'pan', 'geo-0-1', '12', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '4', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '7', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '3', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '1', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '2', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '1', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '1', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '2', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '2', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '2', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '5', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '8', '2', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '5', '2', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '15', '3', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '23', '4', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '25', '3', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '15', '1', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '9', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '7', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '3', '0', 'Question / Hypothesis']
['p8', '00:38:22', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '4', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '8', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '15', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '38', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '17', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '29', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '13', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '18', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '7', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '6', '1', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '11', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '6', '0', 'Question / Hypothesis']
['p8', '00:38:23', 'pan', 'geo-0-1', '4', '0', 'Question / Hypothesis']
