['p8', '00:39:40', 'repaintFg', 'color slider', '50374-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '48486-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '48486-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '45843-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '45843-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '44333-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '44333-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '43955-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '43955-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '43200-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '43200-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '42822-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '42822-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '42445-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '42445-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '42067-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '42067-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '41312-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '41312-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '40934-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '40934-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintBg', 'color slider', '40557-227312', 'Sensemaking']
['p8', '00:39:40', 'repaintFg', 'color slider', '40557-227312', 'Sensemaking']
