['p5', '00:03:39', 'repaintFg', 'log scale', 'false', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '3', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '3', '2', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:06', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:07', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '1', '6', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:08', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '2', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '2', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '2', '3', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '3', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '3', '5', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '1', '1', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:05:09', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '4', '5', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '6', '5', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '9', '7', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '5', '4', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '6', '3', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '3', '1', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '2', '2', 'Sensemaking']
['p5', '00:05:11', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
