['p4', '00:22:58', 'repaintFg', 'color slider', '108524-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '116831-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '116831-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '124760-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '124760-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '133822-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '133822-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '142885-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '142885-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '150059-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '150059-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '156100-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '156100-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '160631-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '160631-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '163652-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '163652-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '165918-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '165918-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '170449-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '170449-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '175735-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '175735-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintBg', 'color slider', '181021-227312', 'Drill-Down']
['p4', '00:22:58', 'repaintFg', 'color slider', '181021-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '185175-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '185175-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '189706-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '189706-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '192727-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '192727-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '193860-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '193860-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '196880-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '196880-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '201034-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '201034-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '202922-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '202922-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '206320-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '206320-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '206698-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '206698-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '210851-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '210851-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '216138-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '216138-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '219158-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '219158-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '225955-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '225955-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintBg', 'color slider', '226333-227312', 'Drill-Down']
['p4', '00:22:59', 'repaintFg', 'color slider', '226333-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '225955-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '225955-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '224445-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '224445-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '222934-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '222934-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '221424-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '221424-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '218026-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '218026-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '214250-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '214250-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '211606-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '211606-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '202544-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '202544-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '197258-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '197258-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '187063-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '187063-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '167051-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '167051-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '142507-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '142507-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintBg', 'color slider', '116075-227312', 'Drill-Down']
['p4', '00:23:00', 'repaintFg', 'color slider', '116075-227312', 'Drill-Down']
